dates,uas,vas,tas,tp
2000-11-01,-0.300744120925021,3.83893342507508,7.58760530510379,1.05853188842646
2000-11-02,1.03791350517427,1.5483924427558,7.13632963495879,0
2000-11-03,-1.02106270134878,-1.98482257077702,5.53757461327463,0
2000-11-04,-0.570096905217335,-0.886170114749804,3.72725064559474,0.434285809051316
2000-11-05,-0.644034466828781,3.01441828573743,6.85380977564682,2.57930405253862
2000-11-06,-3.05237977128429,3.29399167990635,7.51762179151187,14.7525322264756
2000-11-07,-3.23242079141337,-0.648709214908136,5.91730809623387,21.5732220927795
2000-11-08,-2.32006668460988,-1.98482257077702,6.70342404505612,11.7217984840904
2000-11-09,-2.7779863849822,-2.32409877827935,6.4594424824868,0
2000-11-10,-1.30480034575081,-4.04833870961299,5.53757461327463,0
2000-11-11,-1.21838925348362,-4.59318659117159,2.08161874988239,0
2000-11-12,-0.676727808625679,-1.98482257077702,2.74287918340388,0
2000-11-13,-0.495206169663429,1.72843793851108,5.00958293588528,1.05853188842646
2000-11-14,0.153207215703514,2.32061497447793,7.01326650878685,2.43493057400685
2000-11-15,-0.565121340014449,1.49511401545979,6.34536909291883,1.05853188842646
2000-11-16,-1.96060756154315,2.62078221024637,6.4594424824868,14.7525322264756
2000-11-17,-3.05237977128429,4.31274288507451,7.03916910164348,23.1688122165946
2000-11-18,-3.29757361701442,3.33611005451081,7.16985895197001,22.2601742504478
2000-11-19,-2.32006668460988,2.13967566006767,7.46085237243028,1.05853188842646
2000-11-20,-1.73085181921235,2.83991885589804,6.85460519108706,5.05441884217396
2000-11-21,-3.60234401810248,0.342398134186092,6.4594424824868,2.12296052388364
2000-11-22,-3.92592150411261,-1.95948618544838,5.69055058220534,1.05853188842646
2000-11-23,-3.46555986425966,-4.04833870961299,5.49306728644039,4.76272360592679
2000-11-24,-3.81592725283352,-2.52229062838911,6.28115162978965,13.9881695038663
2000-11-25,-3.20752290728331,-2.32409877827935,6.73594273393877,20.9545897994121
2000-11-26,-1.71907005183982,-2.41907758169771,6.80887420718441,1.05853188842646
2000-11-27,-1.30480034575081,-1.94886127283789,6.31380398579179,0.438485346937963
2000-11-28,-2.29929653064294,-1.37098842110685,5.32090270539693,0
2000-11-29,-1.95474821280499,-1.74538301216801,0.827468757895863,0
2000-11-30,-1.73085181921235,-0.774379968442739,-2.96494473479389,1.05853188842646
2000-12-01,-1.01815223112851,0.184639294540518,-2.60541860331203,0
2000-12-02,-0.565121340014449,-1.74538301216801,-3.4014524592673,0
2000-12-03,-0.0105123219556091,-1.13527903805803,-0.934617485014987,0
2000-12-04,-0.746848387559242,-0.647825334270301,0.102102304672095,0
2000-12-05,0.35148809596559,0.423423855645274,2.74287918340388,0
2000-12-06,-0.325033710751946,-1.94886127283789,4.96004326714282,0
2000-12-07,-1.96060756154315,-4.04833870961299,-3.24619166943371,0
2000-12-08,-1.30480034575081,-1.7518004651747,-8.59250111063284,0
2000-12-09,-0.570096905217335,-0.959438797941088,-9.16202877801554,0
2000-12-10,-1.30480034575081,-1.02598635658895,-8.59250111063284,0
2000-12-11,-1.21838925348362,-1.24367657252939,-8.59250111063284,0
2000-12-12,-1.81543563595641,-2.97809480699113,-7.79468201614402,0
2000-12-13,-1.39390525267923,-0.959438797941088,-12.0147704823499,11.3740582151698
2000-12-14,0.333452208623889,3.01441828573743,1.02246887506333,13.9887849443131
2000-12-15,-0.318997194184531,-5.6427445899057,-1.16375468856231,4.7881226611029
2000-12-16,-1.96060756154315,-5.6427445899057,-2.96494473479389,0
2000-12-17,-0.6429261538008,-2.98986744848637,-3.4014524592673,0
2000-12-18,-1.30480034575081,-0.647825334270301,-8.59250111063284,12.9293647532506
2000-12-19,-3.05237977128429,1.5483924427558,-4.73196321849182,23.1688122165946
2000-12-20,-4.35357562115668,4.30250459323763,5.55917992421687,13.2773479874425
2000-12-21,-4.35357562115668,1.0041139198994,3.72725064559474,2.43493057400685
2000-12-22,-3.84704611769176,-0.116739484815306,2.13517081929311,2.57930405253862
2000-12-23,-3.60234401810248,0.0340721609166585,2.15037634274726,1.05853188842646
2000-12-24,-3.43761268062632,-1.95948618544838,1.02246887506333,0
2000-12-25,-2.74048614353828,-1.13527903805803,0.102102304672095,0
2000-12-26,-1.71907005183982,-0.698865554878944,-2.60541860331203,0
2000-12-27,-0.860557810241827,-0.116739484815306,-3.65516038001184,0.404086855601378
2000-12-28,-0.884702907853502,-2.12954189890676,-3.65516038001184,0
2000-12-29,-1.69075673331535,-4.59318659117159,-3.52054103582439,0
2000-12-30,-1.70579662052507,-1.13527903805803,-8.59250111063284,0
2000-12-31,-0.536300969466956,-0.116739484815306,-11.086995607369,0
2001-01-01,-0.884702907853502,-1.13527903805803,-8.22202848337211,0
2001-01-02,-0.650600431857796,-1.13527903805803,-8.59250111063284,0
2001-01-03,-1.09652351272985,-2.23406018934444,-3.94342975965594,0
2001-01-04,-0.864903156665674,-1.94886127283789,-4.76018631949652,0
2001-01-05,-0.772688748653696,-1.74538301216801,-6.84173756689399,0
2001-01-06,-0.894803555151576,-1.98482257077702,-7.78492287695005,0
2001-01-07,-1.9451961594594,-0.408697945549816,-4.7635981259092,0
2001-01-08,-0.538038531485492,1.23029050046053,-5.04229740336253,0
2001-01-09,0.00956935976408907,1.0041139198994,-8.22202848337211,0
2001-01-10,-0.325033710751946,0.695143222533133,-7.65956760456505,1.05853188842646
2001-01-11,-1.73085181921235,0.271662889856331,-6.84173756689399,0.453530041338121
2001-01-12,-0.676727808625679,1.58668992900085,-4.7635981259092,19.1648491256152
