,uas,vas,ps,tas,pr,rsds,rlds,hurs,cc
1979-01-01,0.7440836225824882,-3.9966525545267855,1009.9747951153363,-16.969758646917196,0.0,14.629337034726083,215.07556753871336,67.53727072468209,0.0
1979-01-02,-0.1411850508624639,-4.090609961539895,1008.3757024274408,-10.263456445883952,0.0,13.558044978176152,230.45787304212263,78.16166665027565,0.0
1979-01-03,-0.3809407461150133,-3.621847774722413,1010.465078475291,-10.99742585438257,0.0,16.25702375218608,216.21059399614606,86.59376434310023,0.0
1979-01-04,-0.7417158907001289,-3.233857266888018,1012.6030841606611,-15.647929470200516,0.0,15.957237750386554,214.12647983804828,86.59727179141095,0.0
1979-01-05,-0.5266922635088195,-1.174160632279784,1015.512852804733,-14.913033816560784,0.0,12.424307876953687,235.18146656578062,88.22896810140884,0.0
1979-01-06,1.5075705805295636,4.718155311509182,1008.378837632373,-3.4282115057112383,1.8536523051060123,6.755078248387214,273.7233625242509,90.7303390502702,0.0
1979-01-07,5.72726617799445,5.529569121099251,993.5846255267113,3.8038904889551377,0.9350517689185764,9.566976655159213,269.51603021655137,80.80712880945396,0.0
1979-01-08,5.2301970090226195,2.134769884413699,993.6975497949778,0.6811395669370028,0.0,16.56813420101706,243.97148004844325,76.7121316002395,0.0
1979-01-09,2.811953423788036,1.9383136486409183,991.0418842126754,-3.1962341240509105,0.0,16.319032512497675,237.88959783959018,90.64786266521752,0.0
1979-01-10,-0.726189410016187,1.7426857306250718,984.5888010746081,-4.12215762963416,1.0512977632389078,12.417434601935808,261.41663323880135,93.61642178144307,0.0
1979-01-11,-5.1994859128116175,-0.15642640933829605,981.3262927391747,-2.596919733384916,12.035748899878858,6.593850288933902,269.026913833348,91.52793246370214,0.0
1979-01-12,-3.7005771058450208,-4.34305157909995,989.0699628706611,-2.9716983762968687,6.926717201007679,7.490676789028593,267.7270918012945,85.55531681565996,0.0
1979-01-13,-0.707291253706356,-4.741519722109079,994.9661717713476,-4.854659380153107,1.7585077592018301,10.862782609366715,257.7220846340112,82.28429373570071,0.0
1979-01-14,0.17986317224823706,-2.3925444663162696,1012.147342891079,-7.631438177171541,0.0,17.860760960654016,240.99819400199607,90.17562992552098,0.0
1979-01-15,0.18580835831186843,-1.8949440376787199,1023.2524778022815,-11.357695213400575,0.0,21.215146985483983,229.97301881259864,91.9230078612773,0.0
1979-01-16,-0.4509295559790118,1.5169918301333678,1024.0794738930438,-7.691489861841227,0.07396286682781268,11.649405042670976,260.0892064772867,93.30291262544696,0.0
1979-01-17,-1.3561269380869847,-0.8476171337546992,1024.5394600208633,-5.416392006845596,0.0,17.22976686068021,253.71356866845838,95.17735776785356,0.0
1979-01-18,-1.7220251812262855,-2.207301613234807,1029.400549668842,-5.127129581686438,0.0,17.78857525389255,254.8131775315556,92.19482938027781,0.0
1979-01-19,-2.4699761046002404,-1.2536440312660915,1030.969985499178,-3.584375460185849,0.17793205264458334,14.44524961726733,268.319190607161,91.14887646397673,0.0
1979-01-20,-1.697276458946658,-1.2941146366334706,1027.4023348964695,-5.905745965111999,0.0,20.578817778470086,252.53550535564221,93.96999001023846,0.0
1979-01-21,-1.9822987077607483,-1.4364915552702877,1028.8565771387425,-6.1216191187660804,0.0,13.622194000648388,260.83120366987634,91.74687483170523,0.0
1979-01-22,-0.20840037335693073,-1.1347164080719447,1018.4150364719055,-7.525329127750851,0.0,19.191905722595607,251.64985982254,92.34660591649163,0.0
1979-01-23,-0.3521922519817692,0.13395885288435483,1006.9445405333846,-7.78114073007016,0.1189867683954446,15.813345562117437,249.72224697691166,85.88817975579556,0.0
1979-01-24,-2.03896285834768,-2.6918882347878395,994.085107111714,-7.012145574680496,1.1937499734998709,11.591460268322228,262.01249693014535,92.25694531437841,0.0
1979-01-25,-2.76996631310111,-1.8874865515574848,988.8926074879413,-10.402977096459152,3.066694691672004,20.406878661279933,243.83203793019862,90.67832274418583,0.0
1979-01-26,-1.233590848720239,-3.3781111352898456,985.1171544727216,-15.199320543725744,0.8150759937809183,25.618671070958456,226.00102116233785,89.23946927071185,0.0
1979-01-27,0.6084155550285204,-0.5769883918719044,985.8839506018711,-14.741283603639417,0.0,34.23161862292059,219.5620325278668,83.11901208323437,0.0
1979-01-28,-0.402984938659973,1.3270047268378717,991.1917834957119,-8.567475388687638,1.8130552230768786,16.202510519013813,256.61113010314114,86.7610026830128,0.0
1979-01-29,-1.1789041397825155,0.8692478157849063,999.0590386537053,-7.7173085051079635,0.0,19.846621093114784,247.15226868376465,93.11398002574954,0.0
1979-01-30,-1.6757144203638281,-2.701994965151815,1000.6295268306608,-9.674952766202392,0.0,26.436869342262504,242.05597003855905,90.88880033727446,0.0
1979-01-31,-0.2654146397338365,-2.5600493983915094,995.2391200560419,-9.993519135194335,0.0,29.52244807805812,233.79148219569947,79.40238331094552,0.0
1979-02-01,-0.5264188580920449,1.1034388850733936,982.6582451085532,-7.030051733177952,1.6012152520454417,21.26341467991869,252.42624728757605,88.02168342507053,0.0
1979-02-02,1.591628937487079,-0.8271197859087669,977.5839380149482,-7.45872099016024,0.0,33.83412033861762,237.51941028293163,86.02408554645783,0.0
1979-02-03,1.3448342640263762,-1.6740668698280199,971.7402877916645,-8.09353611594596,8.029757267250265,19.78298331961868,245.14008371822507,81.13112886984585,0.0
1979-02-04,2.3343299833123345,-0.7744235949947726,981.6133864895147,-7.513718910971021,0.0,44.223908761186934,218.04707111692434,79.07975162999048,0.0
