"date","obs_vas","ERA5_vas","vas_1","vas_2","vas_3","vas_4","vas_5","vas_6","vas_7","vas_8","vas_9","vas_10","vas_11","vas_12","vas_13","vas_14","vas_15","vas_16","vas_17","vas_18","vas_19","vas_20","vas_21","vas_22","vas_23","vas_24","vas_25"
1993-03-01,NA,2.51700105329242,3.26036572574726,-1.60919307640201,1.07409843638641,2.78416295780461,1.56302799085218,-0.917945974695034,3.01878348328978,2.06238377704527,2.52811571639642,5.51886377647632,2.49783462906203,2.02396593567216,1.41310391699097,1.35979011818788,1.67044456712065,-2.1644032346828,2.69859388326158,3.11931720898023,1.96658047364936,1.46458777793218,2.04053926060376,2.36998931000775,0.704689235996267,2.3933573098463,0.968655876073737
1993-03-02,NA,3.39281812873125,1.18303723901917,-0.217463503877957,3.47183464903294,1.13925465001654,2.51748926357038,1.31224199541808,1.82871509041316,2.05381680500905,3.44101231040488,5.06894630743291,1.97989871946965,2.69538531608248,1.46281158613318,3.85564793880269,1.85777037552133,-1.3992394521987,3.18860986992045,3.74860598824444,3.2940521189881,1.86559996960266,0.989167897148734,2.05004634763496,0.659162603932858,-0.546816348994032,3.0975884144399
1993-03-03,NA,1.79462332470421,-0.417835709770391,4.52355684678102,2.53104936700065,2.48774422611671,0.0175970442084862,2.79353107329587,-0.96383211573862,1.76175614897629,2.58262849406779,4.09348127355612,1.09794670205477,0.71752003219962,1.7240663701193,3.06589583022957,0.497055482878662,1.06016032464708,3.30736676176024,3.35016535428163,2.77922915679856,-0.356230893979119,2.82813432900547,0.0346188464606994,1.3392173594069,-2.53298885984443,3.69003095646468
1993-03-04,NA,1.99812516739099,0.147637709186109,3.93291132381588,0.728081903898575,1.71892615969578,-1.9934164051189,0.809656154294527,-0.646193333100138,1.06676440540617,1.20155802363481,2.84889877326214,-0.610886138805957,4.06491357411358,3.90481828952027,2.19178614387366,1.0423201044072,1.97844960085363,3.69003095646468,3.41375699371163,1.08450028174239,3.02984703332898,3.72654147457032,0.601692160119697,1.6405778099879,0.833070729937113,2.58262849406779
1993-03-05,NA,1.17444608468378,3.63498777819335,2.37206867332133,1.95799311988788,2.97628160294935,-4.46046165151355,-3.07366596978194,1.09903270672712,1.14886202601109,0.539247754769304,2.32964853124767,-0.578959442400465,2.51042326587637,3.6239919117815,1.59103127936568,2.41742479271792,-1.12690344886116,3.0790980339868,2.06910255171454,-1.00997869844814,1.55334094327352,1.55647385716022,0.30677541600359,2.01511275864971,0.294064377897524,2.61759323579271
1993-03-06,NA,1.67422149399313,3.23309227427735,1.93790086079641,2.55869339044365,1.24063166081874,-2.35860366069478,0.827008499242669,-0.414861714968622,0.92293829139056,0.557486459030805,4.43074629544615,0.280278023223232,1.80258531235015,3.30137415036894,-0.308745033868106,1.96050146202966,2.09511582159677,0.14606256023529,0.0825914221631879,4.30377737898008,0.155730683607617,4.05994791471629,2.8523938764207,-0.143271293494276,0.294064377897524,0.809238181051314
1993-03-07,NA,3.0585112394172,1.23998636414856,1.06502069713582,2.67912309935584,-1.80571702038135,0.569476070167767,-2.51819984711243,0.146333167944621,0.968655876073737,1.12403136573564,3.1566033057737,2.10428888660798,0.774845733156356,2.35507861596771,-0.229521936457725,2.19629692011745,2.77473030010504,-1.25325497156822,0.418238409897839,2.48972847994477,-1.4093905561182,1.68644061317811,3.32537679739129,-2.44453927881428,3.63793478022297,3.5612797480963
1993-03-08,NA,3.46635234859396,-0.480804692124114,1.99882627728855,2.83312014354344,2.17943259349764,3.17465996877413,1.16656015903455,4.45441199138842,0.14724789456144,3.28797674611977,3.07864706270638,1.65871250432171,1.07129220705279,2.14425467769578,1.29014146296911,1.83497667268171,1.13652804546788,-0.736374769759183,2.72697850526541,2.71005530240958,-2.07415735234419,0.134139461246991,3.01870498582055,1.97759998563455,2.89141393369639,1.66008472767437
1993-03-09,NA,2.13340556609141,3.7466904400104,-0.0389241826706371,3.54222071328016,1.32902263869429,2.10795879294579,2.25188512536006,3.52750696423634,0.236444825871232,2.58262849406779,1.84921046438669,3.03092953269387,-0.871738424762758,2.08593168123187,-0.831863675671505,0.298967184233745,2.28160019458313,-2.35772095628446,4.13035391298962,3.27323253706191,4.22106967727129,0.818347216452908,3.05842602798158,2.87280855229532,2.00145510612563,-2.75931400909829
1993-03-10,NA,3.6310881062986,3.67090602213889,0.547740020333893,3.44671998746246,2.40830179508501,2.6505538318695,3.07309113605569,1.96052540269045,2.01147088360598,0.987736285449073,0.339908805167222,4.37642017810574,2.15791377450526,1.36178730827631,2.76488593346156,-2.23434951429384,3.08286612577589,4.13035391298962,4.25375143629964,3.01272711773299,4.88086174129811,-0.3610355567997,3.15125254007022,0.283687613847081,0.545114942642568,1.48096615411998
1993-03-11,NA,2.34809988033784,2.5463797483495,0.29383434840862,0.998331171343187,2.5043934075745,2.44177288279055,3.19696396413305,0.923300893561623,2.91631551708595,-0.272183707569232,0.199404714324794,3.87681657155145,3.05588114258239,0.465041513116633,0.977523665914366,-2.8675248554947,1.09794670205477,3.01467941671491,2.96803591399052,3.50418354930817,4.18174361020442,2.05029236479768,1.53191479395495,4.09597475808163,-3.59117581366651,2.78642031826209
