"date","obs_rsds","ERA5_rsds","rsds_1","rsds_2","rsds_3","rsds_4","rsds_5","rsds_6","rsds_7","rsds_8","rsds_9","rsds_10","rsds_11","rsds_12","rsds_13","rsds_14","rsds_15","rsds_16","rsds_17","rsds_18","rsds_19","rsds_20","rsds_21","rsds_22","rsds_23","rsds_24","rsds_25"
1993-03-01,NA,136.48218257195,297.725065397551,292.064146149115,304.118539497919,306.812392477432,305.654826737862,206.829347776568,307.602213239272,228.593013143673,265.770075451261,130.525696945068,302.233827846434,288.308419655497,243.960466807631,144.71522942746,214.735800016451,113.074640211519,274.823432362263,299.814111927068,247.349192514426,304.766322993389,283.763522780531,272.984674195946,114.710312657141,296.273523832396,294.472275307286
1993-03-02,NA,173.61919437726,247.079058635029,278.414688922706,302.863813525651,304.618574440871,258.712692455738,181.843357512474,307.604983893084,234.134122588547,303.488080988303,142.804253781242,307.843209762854,281.459530621469,232.943451492278,245.956152497178,248.306254597657,206.81832756304,162.949122846545,260.760987289047,224.27713427258,287.627843463962,280.676828771767,267.082266969945,255.142176261213,148.675105595643,226.450015806104
1993-03-03,NA,216.776794234894,156.400983483371,289.231969669549,306.358028314747,297.665944945251,132.177642468557,302.09754517731,304.921494588317,300.506774505909,303.219186369926,221.369250732659,294.627032685451,216.912573116545,265.995690770387,212.941760989676,160.416200883498,98.4730761799797,271.565943349524,218.171446490498,272.269364620799,298.924000689244,300.00110890696,293.73447163182,234.420919614565,246.694283360908,288.868835403266
1993-03-04,NA,297.680258585874,260.773161641368,247.349192514426,304.96750673187,258.31848244802,275.450755210763,307.767565192628,298.924000689244,302.202441798396,257.779485070357,199.634493340349,290.93046454059,262.496628034502,254.033688576807,274.230863744021,229.055991744941,184.189875561947,286.924041075875,237.787873682796,295.884893466142,301.804181789238,299.321981051517,255.173382363483,238.82816289102,198.650184900007,285.572885796582
1993-03-05,NA,265.699787366106,246.203156681094,173.851627973889,300.506774505909,298.316993076663,270.521275676728,238.19876628054,292.828375996774,296.099525091812,137.485680192331,211.388817937796,281.919080982213,227.593474492794,228.685176450936,295.165319321689,217.129438046583,203.230203996116,299.321981051517,295.411775298861,179.739373437362,297.421414388288,230.970941839971,230.817975901326,293.73447163182,179.758365110971,293.777928206396
1993-03-06,NA,276.482017715697,266.102495830289,278.262226083481,282.21369772421,281.459530621469,220.104100812025,146.491683883901,295.54813647197,290.795078379196,272.809811371057,184.731918496208,274.975831078697,295.563426491659,263.292467575752,285.834592233433,265.812248851447,228.924018443251,269.876276795979,294.912149556308,207.161209236536,290.858261608194,261.664857522266,173.642567686655,286.54261441454,188.876153156587,271.646672696999
1993-03-07,NA,276.445727500383,189.683284844207,187.412753701714,229.117970427033,189.091060672251,221.175104402947,176.713562031977,238.125528170808,294.9542321973,249.508088289369,180.601336649878,284.193714277348,293.73447163182,256.094668341447,276.797589644738,287.867489213113,274.094704403505,234.662982346774,288.555627896797,206.198735926104,287.28222274248,295.54813647197,184.562883518586,245.20066864214,250.393476811665,199.294418792023
1993-03-08,NA,236.414553430179,229.833159234313,273.828240196235,258.139106887559,218.048441950764,172.576210780031,203.287479724128,220.826455075029,252.239816052022,261.527566464134,294.371063130867,280.92756429432,290.93046454059,290.904260477377,284.193714277348,285.572885796582,282.524500297223,223.677443240417,290.858261608194,251.9350001529,229.181107355542,296.033572411665,269.202084924051,190.362661950544,226.335452958555,292.621820660973
1993-03-09,NA,288.676235784211,200.55670171958,290.93046454059,267.082266969945,287.481985021381,291.615332308554,193.018851474808,229.512813576883,199.959165254122,290.974366892768,294.628945546815,278.779765559985,271.317669925402,286.875947936359,217.443027227299,265.770075451261,232.943451492278,226.543962241124,288.405045682098,283.763522780531,150.11569952666,285.834592233433,277.998760843418,161.8292524847,291.567386310805,247.545188036613
1993-03-10,NA,273.556276176885,227.918202486625,284.933455777235,286.422683465407,278.166275713776,290.719427423411,211.4122583302,289.231969669549,268.80628783677,286.850036711203,290.795078379196,263.292467575752,165.382075337491,211.977341124712,173.299959787689,231.857050176153,203.53349695083,276.278583451667,296.099525091812,290.858261608194,150.11080406019,272.534286138876,258.712692455738,166.286558470983,289.231969669549,183.957365420288
