"date","obs_petH","ERA5_petH","petH_1","petH_2","petH_3","petH_4","petH_5","petH_6","petH_7","petH_8","petH_9","petH_10","petH_11","petH_12","petH_13","petH_14","petH_15","petH_16","petH_17","petH_18","petH_19","petH_20","petH_21","petH_22","petH_23","petH_24","petH_25"
1993-03-01,NA,2.54034199823266,3.52041436711716,5.2796103522659,4.46877757594371,5.06660541476559,4.84769999095282,4.26694024534202,3.4477524093748,2.90184447437429,4.4704793337018,2.89728695797012,3.02049101083546,5.36718139682774,5.2121099164235,5.56869781838901,2.57915409758541,4.37594319511118,3.52538990699672,3.61784167766352,4.17364303365581,3.90597891501945,4.13769040304916,3.37416128742409,3.35438863065752,4.08009049553103,4.297246242172
1993-03-02,NA,2.72680115794878,3.56726130199419,5.42624150399955,4.42089015842083,4.62511094698026,5.07289699494182,2.91049083325517,3.89988502061422,3.41745784669239,3.59854870249223,2.60220345134002,4.17428930787529,4.37594319511118,4.92220636514542,2.87847728550185,3.20212509746536,2.38989421066403,3.89736611860642,3.24214693466813,3.42205451656489,3.8889827318143,4.39863043342089,3.00622548226061,2.60220345134002,4.42921709488878,4.85132109486713
1993-03-03,NA,3.58251163347327,3.95733673219129,6.04786343776654,4.15314129338295,5.1895362485383,4.05612198688879,2.68527294357177,4.45674498769287,3.04162945089786,3.81603245599293,3.14001790189061,4.78969682159567,4.2413670938665,5.31752185462346,2.71394592211683,2.93677999646342,3.71321858056485,3.14222933401654,3.75375949245098,2.70561982711785,4.48533098453874,5.15257535081253,3.23170368670944,3.74363838684971,3.92699985866988,3.96482936038653
1993-03-04,NA,4.26418276680124,3.0660504303845,3.44805148867967,4.36267647832865,4.87401846771499,4.11083549479372,3.63471338717747,4.97146105951256,3.42619816074617,4.4986764461801,2.97597404896707,4.7952066969905,2.64541127951048,3.82476450315633,2.87847728550185,2.97123043521922,1.84770634180399,3.52196830836653,3.28692990848568,3.80772766966598,4.97414844899868,3.84568278842702,3.45121023352662,3.93631843325454,2.86758509459048,4.07427971325119
1993-03-05,NA,4.01337935088603,4.03365343636053,2.50639098358672,5.19620978813572,4.77258601360547,4.61700191568574,4.05137160004342,5.38788975843302,4.05372499944663,4.67266703118486,3.04795824301565,5.01895263760587,3.01886021632211,2.96176175204707,3.81120100469309,2.89728695797012,2.55083198219593,3.21626688493723,3.05166254485225,4.05612198688879,3.846188705456,3.77177497649672,3.58969053336073,3.42205451656489,2.77410751900432,3.77149094084377
1993-03-06,NA,4.30545807480397,3.49264554622408,3.04020001500614,4.45763903516191,4.31872644642621,5.20386823630488,5.38257059136837,5.1276893875833,4.60543673918456,3.13251617801182,2.6764302438545,5.25519169885564,3.40701400338361,3.22185521172452,4.61494553832602,3.06288950896824,1.97553794891653,4.10011454359187,3.57031660506869,4.01484561296467,4.45763903516191,3.27622437394407,3.62035097833869,4.12589020990477,2.59575078712393,4.03222655080531
1993-03-07,NA,3.82015047418073,3.92625873301257,3.06156806851657,4.45870183586223,5.6075582675103,4.31108701842364,1.89506030061181,6.18807479917902,4.72671806782969,4.09230593990799,2.61640490613888,5.06134345366998,4.3170148192951,3.0437474742627,5.41513798468817,3.49914790177597,2.19896868746872,4.3683237382255,4.72671806782969,2.58132085968201,4.76272821374837,3.0982860169762,2.22664367465629,4.03231885170552,2.67530090612025,3.571821427414
1993-03-08,NA,3.50938832548298,3.42602163722272,2.69900038252169,4.14897308103087,2.62650580014599,2.62630877202298,2.14771980227321,3.30509943900789,4.72604307502361,3.97642426585719,2.69174404328439,4.4253187814628,4.37594319511118,3.46937182673375,3.04020001500614,3.54792957171439,3.23754949502902,4.15447675423733,4.4704793337018,3.23754949502902,5.06134345366998,3.51221226901586,2.41120392596726,5.61899169522007,2.09394850494787,2.65271907433264
1993-03-09,NA,3.49185068794953,2.65490132926922,3.72433710180857,3.65360403194367,3.31817127779307,2.39950928009972,2.4108491515418,2.37232518202105,5.22901954764116,3.56003185343794,3.16574183117151,5.42368853224575,4.32250514525128,3.49891252131841,3.68590570859931,3.62347121181178,3.39510411976116,4.61338459697335,3.67196323334646,2.70851807097874,4.28918387375104,4.2042593290201,3.40897224935602,2.91394393175883,2.75017322363017,3.63471338717747
1993-03-10,NA,3.19811722319941,2.53421003458301,4.45252840277999,3.55591766385115,3.69702031800285,2.98631426471707,2.59818270796737,2.77410751900432,3.68947275521362,3.84568278842702,3.78526739519159,2.90569679506799,4.56366241387424,3.6443827872079,3.14562877911108,4.02705514656868,2.84974762270949,3.31817127779307,3.38729697114411,3.46414711403645,2.32389609684047,4.61473953125899,3.05456145044817,3.0773210239396,3.66283023360142,3.97449041329585
1993-03-11,NA,3.29010064177702,2.50992027982405,4.49218939517292,4.25075617757669,3.76141200532439,3.23754949502902,2.34134198314493,3.67786677302134,4.03006379473513,4.24575951811909,4.07870209644325,2.76403470790355,2.79208997515661,4.01484561296467,2.78068099542868,5.85541512057607,2.09262756137421,3.10707715120894,3.22913632372195,3.73774900961035,2.03611483562303,5.4484384040527,3.45153923120429,2.24044001924922,4.12610999056492,3.39510411976116
1993-03-12,NA,3.53947876315979,2.79208997515661,5.08016692947864,4.2434902402427,4.11388407462364,3.46332774046802,1.89903839473961,4.22460223109828,4.16678891873976,4.27913628868373,4.24660605736318,3.06840267722586,2.986798195108,4.0540793826043,3.73177535687914,3.22979368350968,2.48520885682343,3.28166251046553,3.93631843325454,3.64187340486076,2.46828931731947,3.19585125511933,4.00133969481826,3.01482469245898,5.34903908752972,3.61056599575162
