"date","obs_tp","ERA5_tp","tp_1","tp_2","tp_3","tp_4","tp_5","tp_6","tp_7","tp_8","tp_9","tp_10","tp_11","tp_12","tp_13","tp_14","tp_15","tp_16","tp_17","tp_18","tp_19","tp_20","tp_21","tp_22","tp_23","tp_24","tp_25"
1993-03-01,NA,1.00556012632916,0,0,0.00216442871093751,0,0,0.152550415039063,0,0.0424910888671876,0.0400601196289065,0.54403988647461,0,0.00471380615234375,0.066058868408203,0.966817016601565,0.131057739257813,14.1332914428711,0.384405029296876,0.00216442871093751,0.0697948608398439,0.0475745849609375,0.00108221435546875,0.0173880615234375,2.72221249389648,0.0962068481445315,-0.00273132324218753
1993-03-02,NA,0.0604846659836552,0,0.0170910034179688,0.00324664306640626,0,0.505527252197266,0.0741061401367189,0,0.0080120239257813,0,0.143069885253907,0,0.318080963134766,3.47605572509765,0.111640258789063,0.0487119445800783,9.11871865844729,0.129955535888672,0.0196040649414063,0.0172940063476562,0.00471380615234375,0,0.00509875488281248,0.424513885498046,7.93194073486328,0.00687823486328126
1993-03-03,NA,0.00865127600500415,0.886320770263671,0.00127468872070312,0,0,1.47471203613282,0,0,0,0,0.218257080078126,0,0.216648742675782,0.0538027648925782,0.0261489257812501,0.735534301757815,13.4341986694336,0.105885284423828,0.189614807128907,0.00436517333984373,0,0.00324664306640626,0.0882357788085937,0.00633712768554688,1.33629092407227,0.00471380615234375
1993-03-04,NA,2.08166817117217e-14,0.0669003295898438,0.047090850830078,0,0.00943698120117185,0,-0.0163245849609375,0,0,4.08478790283202,6.79915475463869,0,0.0422045593261719,0.111861389160156,0.00216442871093751,0.37158059692383,1.28846578979492,0,0.0116436157226563,0.00595217895507815,0,0,0.00108221435546875,0.132435577392579,0.577169219970704,0.0512459716796873
1993-03-05,NA,2.08166817117217e-14,0.00471380615234375,0.0123150939941407,0,0,0.0346671752929689,0.850930053710938,0,0,4.96093884277343,0.498039367675781,0,0.0109100341796876,0.104612030029297,0,0.0323251647949219,10.5836203918457,0,0,0.457038665771484,0,1.07752429199219,0.168208251953125,0,1.04269549560547,0
1993-03-06,NA,2.08166817117217e-14,0.00943698120117185,0.353388458251954,0.034149169921875,0.182005676269531,13.8420773925781,1.20638269042969,0.00108221435546875,0,0.226487548828124,0.358442871093751,0,0.00997808837890623,0.0237884521484375,0.00108221435546875,0.00127468872070312,0.760001281738282,0,0.00216442871093751,0.471574920654299,0,0,0.159618713378907,0,0.929114990234375,0.412667968750001
1993-03-07,NA,0.286152918050761,4.95679235839844,0.25942984008789,0.0664157104492186,1.3577883605957,0.780534606933597,4.68403955078125,1.70410229492187,0,1.13499890136719,0.0508306884765628,0.0377479248046874,0,0.0134230957031251,0.0305293579101564,0,0,0.0629953308105467,0,0.048519470214844,0.0210383911132812,0,0.113076904296875,1.43162799072266,0.0520065917968751,0.0152752075195313
1993-03-08,NA,0.0460867833859258,2.80496109008789,0.00254937744140624,0.121610412597656,0.0153434753417969,0.0618801879882816,1.17212731933594,0.0279682006835938,0.983883941650391,0.0943698120117185,0,0.0566218872070311,0,0.0225055541992187,0.00108221435546875,0,0.148356475830079,4.12697943115234,0.00108221435546875,0.115302368164063,7.45744445800781,0,0.00216442871093751,0.231548370361329,0.012725830078125,-0.0188739624023437
1993-03-09,NA,0.606768924272559,0.132583526611329,0,0.0355647583007812,0.0134429931640625,0,0.801665893554689,0,0.0105191955566406,0.00363159179687499,0,0,0.182875427246094,0,0.409013000488283,0,0,1.18673626708984,0.00108221435546875,0,1.27456610107422,0,0.00865771484375004,2.56056271362305,0,0.482696533203124
1993-03-10,NA,0.0403867424376633,-0.000733581542968742,0,0,0,0.00108221435546875,0.436957641601564,0,0.00671154785156254,0,0,0.202342956542969,0.536888793945312,0.0123408813476563,0.0080120239257813,0.216269165039063,0.360445343017579,0.00997808837890623,0,0,1.06959149169922,0,0,0.294984680175781,0,1.51018359375
1993-03-11,NA,2.08166817117217e-14,0,0.00454711914062503,0,0,0,0.378337829589845,0,0.00162332153320313,0,0,0.110637817382813,0,7.36692071533203,0,3.23168017578125,0.901822723388671,0.0138291015624999,0,0.00687823486328126,1.05782312011719,0,0,0.00108221435546875,0,0.0657161254882812
1993-03-12,NA,2.08166817117217e-14,0,0,0,0,0,0.0241936645507813,0,0.00670565795898432,0.66741943359375,0,0.0080120239257813,0,1.93846673583985,0.00254937744140624,0,0.0598671875000002,0.0105614013671875,0,0,0.381713684082032,0,0.53102032470703,0.776379394531252,0.0425274047851563,7.49047808837889
1993-03-13,NA,2.08166817117217e-14,0,0.0803902587890627,0,0.0205620727539063,0,0.0140687866210938,0,2.21540277099609,0,0,0.0348346557617186,0,1.59937219238281,0.571103454589843,0.278045654296876,0.00939129638671878,0,0.810655029296874,-0.00816229248046873,0.00216442871093751,0,0.00324664306640626,0.0561558227539063,0.0312992553710939,2.20942700195312
1993-03-14,NA,2.08166817117217e-14,5.26581878662109,0.0080120239257813,0.66058868408203,-0.026885986328125,0.026885986328125,0.00254937744140624,0,1.04521722412109,0.0348980102539063,0,0.0185734252929688,0.00757550048828128,0.11140576171875,0.776294372558593,0,0.00432885742187502,0,0.335082641601564,0,0.0747939453124999,0,1.42654223632812,0.288832275390626,-0.0199561767578125,0.0225383911132813
