"date","obs_cc","ERA5_cc","cc_1","cc_2","cc_3","cc_4","cc_5","cc_6","cc_7","cc_8","cc_9","cc_10","cc_11","cc_12","cc_13","cc_14","cc_15","cc_16","cc_17","cc_18","cc_19","cc_20","cc_21","cc_22","cc_23","cc_24","cc_25"
1993-03-01,NA,0.848800568242972,0.617360407071816,0.35928585616407,0.522921129853153,0.479327333302814,0.409767956785131,0.857877550587744,0.580930432626819,0.763081864729728,0.676175472312423,0.936282231242275,0.551462141414758,0.361702650878183,0.585758943412734,0.93046840995122,0.860758140417805,0.922552126470633,0.330453711931393,0.510310085028643,0.669364969302998,0.480935539163475,0.49304601795533,0.702939546345607,0.938525133454392,0.612331380729302,0.416340465556793
1993-03-02,NA,0.690602162554234,0.642029339884739,0.407276984704907,0.588620253104034,0.513419489437892,0.417131174970371,0.867447143208293,0.445828610216736,0.833462841377626,0.583475464941327,0.939936885945503,0.458095059466223,0.454360692027935,0.583089178154517,0.737743507810314,0.743410351019079,0.759876328587632,0.874219329742267,0.68149057167127,0.811377717363771,0.570346146562291,0.461611293587454,0.737743507810314,0.594104472698233,0.918217666173277,0.72827382552302
1993-03-03,NA,0.298829941210281,0.862232760919435,0.69823419980773,0.568171864271944,0.510299938534784,0.863121719357677,0.668720967207362,0.355171054725609,0.606981661351278,0.546004664726626,0.750320178800503,0.397877346761682,0.771724158902131,0.659115719449234,0.833236176277601,0.899910852120306,0.95046989101674,0.591725477830508,0.755278447520079,0.690009000737542,0.351485070341151,0.546153480617907,0.43193592634754,0.577787382519748,0.649255223549122,0.531499380220652
1993-03-04,NA,0.412119478776596,0.422262345281512,0.753972089766479,0.499155412774226,0.670786499954871,0.261968268912863,0.556652071638208,0.295128931570906,0.538183880792883,0.527741150117752,0.802647534178709,0.332224425817365,0.727419660873148,0.733540911703518,0.652781437036811,0.764435466813157,0.830710075819307,0.666637008977665,0.778461022060133,0.42060283224228,0.557670356125921,0.500485223424331,0.687605025803793,0.570346146562291,0.852298571996806,0.3814140087386
1993-03-05,NA,0.959775766773992,0.725480910238608,0.930774380296948,0.452267009394758,0.515090671549703,0.151948732516441,0.577534202717206,0.24282788054873,0.42357834544632,0.919675811474117,0.823234299665818,0.293627794200377,0.801850247742867,0.809973713375958,0.450286373460699,0.813259332875549,0.86285705251807,0.524908506879485,0.564421652846657,0.808334608578884,0.490835611757944,0.754270861377728,0.677439678696229,0.260447504860147,0.860758140417805,0.476134370897105
1993-03-06,NA,0.462524535608014,0.583782778366115,0.620859059649337,0.464170597540172,0.237438084242544,0.574124385658116,0.89669909598938,0.22914365149365,0.447777051948382,0.304996455566915,0.868444307366772,0.424533955798351,0.47938246534316,0.716408434183287,0.372321634860808,0.710727680710481,0.776178538914237,0.269338508273185,0.447717895614931,0.773019811189274,0.37921842593299,0.783305500455241,0.875594818081475,0.118350584448548,0.884031990213582,0.463327791494363
1993-03-07,NA,0.507710252198637,0.811377717363771,0.897873848859862,0.606302890431792,0.836808744927492,0.791193742674174,0.887037389447556,0.588622416838336,0.404422378221659,0.520365786682536,0.912669709327107,0.318817310728946,0.454762444488527,0.742253644077538,0.614964513634353,0.586148091682419,0.68311211523965,0.405756743360851,0.530000973819806,0.852487961973357,0.205862589107777,0.658405303852003,0.856806871001379,0.239791122376004,0.748564548873595,0.89056020880291
1993-03-08,NA,0.269903207971556,0.734112210641967,0.652929246862904,0.550662446177244,0.823234299665818,0.914125044949364,0.819382521030117,0.822524274417618,0.321168068403196,0.599817039516986,0.638292685008571,0.328276906169411,0.378614136572414,0.619182869353354,0.612027698899791,0.530920440266736,0.579189454981968,0.533184345779988,0.59175612061099,0.678182753808514,0.555574427987934,0.494358959526752,0.687728823279874,0.873929352112676,0.837018228129339,0.572478441131441
1993-03-09,NA,0.442334956312087,0.836879509051419,0.48859979084329,0.598903299548828,0.543991014521946,0.615916043886286,0.833462841377626,0.849190602291975,0.744322725100331,0.540184882954643,0.565077830324671,0.648912455973834,0.447777051948382,0.583475464941327,0.741961538522576,0.587163198795519,0.812707722724937,0.653374351853265,0.621500257091847,0.660902861499804,0.91532826315495,0.374011349620293,0.642029339884739,0.812095248541447,0.605111308623137,0.461611293587454
1993-03-10,NA,0.392642574946973,0.809406497327046,0.457681716020936,0.461623437352173,0.553766664693106,0.599642616290011,0.819945286130652,0.607278321517404,0.472050048169116,0.444162696678582,0.537231088927208,0.656376706595659,0.908826092909933,0.706286289757323,0.925057340271314,0.557011593344828,0.760267793610344,0.702849604708061,0.620378938977309,0.604158076653493,0.912467369762817,0.358498230163938,0.709215928707674,0.886192950605039,0.453815968423033,0.766851359020138
1993-03-11,NA,0.488058446055167,0.688265218826139,0.42408523730029,0.332431541927746,0.480910257271316,0.520365786682536,0.939131417087574,0.531753906805223,0.401709914292543,0.391545002466951,0.533909338033255,0.902497922654744,0.625626796535079,0.690649309813376,0.606302890431792,0.866469019862766,0.850364333592745,0.625318420032655,0.607855397942004,0.607545775410862,0.941533861087798,0.67145617410058,0.358926737857263,0.706839356906085,0.527328413471076,0.615951343801341
1993-03-12,NA,0.308455166831978,0.602641387901261,0.43413395246161,0.424533955798351,0.332278492830584,0.427967464900635,0.780058000396747,0.434890372809628,0.289168848651315,0.812707722724937,0.68311211523965,0.478557769347759,0.508646224873982,0.68334717000595,0.511628612861713,0.748838114883596,0.932354361375185,0.696117274574133,0.5497490589474,0.50754604379473,0.93144076382891,0.652622939852186,0.220798354640664,0.576938319197961,0.61143753262224,0.679713104318944
