"date","obs_rlds","ERA5_rlds","rlds_1","rlds_2","rlds_3","rlds_4","rlds_5","rlds_6","rlds_7","rlds_8","rlds_9","rlds_10","rlds_11","rlds_12","rlds_13","rlds_14","rlds_15","rlds_16","rlds_17","rlds_18","rlds_19","rlds_20","rlds_21","rlds_22","rlds_23","rlds_24","rlds_25"
1993-03-01,NA,359.629884158574,308.794817904492,348.570993721745,316.940650447251,319.056476999735,328.842708562922,331.77785563393,304.339535511228,342.231572294886,330.195055511,358.840253907165,315.156408227359,352.164010806548,367.834695501232,353.63713898708,323.693405628624,391.49807001706,367.834754150311,323.955886072664,349.935835155645,321.023566624896,342.560366749945,315.402335424205,375.153812805441,310.970122102219,340.52647982011
1993-03-02,NA,346.822804961462,354.381128645189,354.730087438806,306.587358226281,315.574919241909,374.023934122486,349.056088264316,319.93707590765,309.809431526783,306.04613025031,341.32333990482,317.641442029809,347.003807529944,377.080418352314,331.440113308888,328.314840531492,363.059106515247,361.465785278218,330.930635956475,328.91538185082,326.301452041177,346.923028675228,310.746756976291,354.620828888833,355.361479913835,352.282517453307
1993-03-03,NA,320.796230393894,371.57333585939,295.455866513518,303.85220184115,321.3791658513,393.20279418548,289.368710018695,330.822095869932,304.276970628403,310.452712838836,348.639437888728,337.984072931521,347.870277728744,329.49483720947,331.793832119852,352.244529835081,375.988302848651,336.727527078272,350.685566819134,314.677226901598,337.525764607386,314.581033881253,334.816819666302,373.49670353697,351.446039457554,328.620579299567
1993-03-04,NA,307.173544002566,365.465459600341,321.350721186849,312.235414948229,332.082640445765,367.163846025754,302.037362680171,341.229590875034,310.644251371066,358.080923275512,353.044971132851,345.789712259386,313.657105428829,321.098852052779,320.186505032924,334.921597511423,356.712909053427,303.936274831572,320.721284802978,331.15304920808,308.535181274268,318.715641523743,330.921959397904,366.913049124838,336.187425804462,346.923028675228
1993-03-05,NA,325.276073884811,328.620579299567,318.289905827338,320.237338052867,315.562575677185,383.241922839964,363.623388339279,350.898356097693,328.487106153571,361.157528215399,332.412560130339,356.025326278597,324.001990960431,318.287884456517,326.915443699908,329.621003309063,326.763176683533,313.287121720587,312.291846797455,365.437934700638,320.084621431581,332.780982138463,353.51467777006,348.829350040455,348.437477582033,326.132009324593
1993-03-06,NA,331.265002221028,337.176490720669,317.782354257434,336.405972780937,359.646750761289,382.096568008781,361.681506610437,347.153922304706,329.536707291045,361.283488905488,338.044148564962,347.51952666994,320.658597460805,310.916878903108,342.654446198738,310.126701360788,327.302098796158,368.409971089386,325.567356661016,350.911418729278,336.91294751608,293.684975624041,344.603248346167,369.257121363889,327.445968605488,346.854675006243
1993-03-07,NA,328.886461506186,351.536133206747,321.846592224158,365.437934700638,344.612933157,329.828028736176,335.154617157835,358.806519454632,327.865620072793,360.827671344764,320.591287001072,347.640207316631,323.798051427495,310.243876191568,317.99160185819,311.768741900274,305.9564857487,383.842716019891,319.811156538742,325.044609628481,355.265998499758,290.809026531454,341.459943068562,391.089311354877,313.987381697873,312.291258918733
1993-03-08,NA,310.819248913124,333.874568741203,311.768741900274,345.993380446227,319.164439633184,326.733560849316,335.63150351251,316.238724786384,377.377801555554,334.204201509346,294.29274218893,347.264137678718,331.617249961975,301.064572447102,309.723751566353,320.704056710244,316.208460004861,381.213520721324,305.821606320219,329.071765996078,371.520551939479,313.260943824854,307.788404033931,327.053081072632,306.313244285862,306.905255434224
1993-03-09,NA,308.091833367212,329.99413990498,317.670544577888,327.459115742773,314.63330392531,297.561854464358,338.279765532819,296.031251944355,357.964151184495,311.179030554163,304.31777473695,305.541006658103,342.231572294886,309.157062032279,343.816436169696,330.496725376096,303.888013453531,355.217660520757,300.484205806686,297.203543901244,344.177491773021,335.062849981804,307.694459839611,372.385948225488,300.714141153916,363.073274858126
1993-03-10,NA,311.791344151852,308.767485015013,325.248032611989,323.039685729956,320.186505032924,300.564901694013,323.722993171539,300.643597027441,339.959726275796,324.918324268732,309.889255183531,316.940650447251,331.546024707862,355.648841439366,313.72978281326,362.524621590305,351.174796474618,292.446058730228,289.946152602813,299.146064087314,344.180646470937,348.04113571247,309.020152051708,340.299900565907,320.591287001072,364.006807257068
