dates;obs;ERA5;m_1;m_10;m_11;m_12;m_13;m_14;m_15;m_16;m_17;m_18;m_19;m_2;m_20;m_21;m_22;m_23;m_24;m_25;m_3;m_4;m_5;m_6;m_7;m_8;m_9
01-Mar-1993 12:00:00;NaN;0.8117522;1.039776;1.365607;-0.2434463;0.4244144;1.930689;1.273212;1.592325;0.9824855;1.052045;0.1453583;-0.2068441;1.030806;-0.2521482;0.05090243;0.4091097;0.004439361;0.05090243;-0.1628042;1.033849;0.1489269;1.463035;1.438959;0.6313706;0.3665255;0.02112157
02-Mar-1993 12:00:00;NaN;0.8142945;1.037063;1.462002;-0.2406546;0.5004178;1.906907;1.580813;1.622776;0.9293571;1.42279;0.1495006;-0.2040794;1.028888;-0.2475542;0.05825794;0.1492867;0.006941295;0.05825794;-0.1602323;1.032576;0.2792933;1.588616;1.415785;0.8303977;0.3648095;0.02365276
03-Mar-1993 12:00:00;NaN;0.816461;1.035718;1.354218;-0.2384479;0.5235459;1.97085;1.800396;1.794372;0.8676034;1.550428;0.1527764;-0.1992533;1.026317;-0.2444858;0.06573908;0.09276745;0.009001268;0.06573908;-0.157809;1.031791;0.2882238;1.636628;1.374763;0.8388738;0.3650635;0.02729302
04-Mar-1993 12:00:00;NaN;0.8183495;1.034616;1.281464;-0.2365102;0.514303;2.1758;2.058398;1.851154;0.8458487;1.821105;0.1550764;-0.1922702;1.022673;-0.2420877;0.07237535;0.1012038;0.01211911;0.07237535;-0.1560641;1.031513;0.04841222;1.643833;1.379007;0.7249556;0.4223866;0.0302897
05-Mar-1993 12:00:00;NaN;0.820212;1.03274;1.291781;-0.2341514;0.5160466;2.309908;2.462629;1.840797;1.005005;2.157416;0.1579563;-0.1869504;1.019151;-0.238138;0.0784589;0.1055733;0.01491822;0.0784589;-0.1547852;1.029492;-0.1220968;1.654081;0.4479428;0.6578034;0.9556912;0.0325125
06-Mar-1993 12:00:00;NaN;0.822234;1.029989;1.333534;-0.2295283;0.143002;2.26439;2.905001;1.809042;1.097847;1.8765;0.1616378;-0.1829612;1.015731;-0.2339275;0.08418131;0.1087156;0.0159808;0.08418131;-0.1533019;1.026385;-0.09573784;1.65491;0.3031869;0.6319475;1.532835;0.03581564
07-Mar-1993 12:00:00;NaN;0.8239927;1.026621;1.394617;-0.2228854;0.2748876;2.28131;3.046576;1.771244;1.059902;1.600702;0.1645581;-0.1773494;1.012412;-0.2313103;0.08966643;0.1150626;0.01774731;0.08966643;-0.1517411;1.023632;-0.000235125;1.459474;0.3123048;0.6125191;1.997443;0.04132817
08-Mar-1993 12:00:00;NaN;0.8254246;1.02307;1.525277;0.6539028;0.3093833;2.292751;3.070812;1.781503;0.8865563;1.837539;0.1664647;-0.1700808;1.009978;-0.2287035;0.09497838;0.1246396;0.02220789;0.09497838;-0.1503854;1.022695;0.01494063;1.273295;0.3245109;0.5280555;2.338605;0.04836557
09-Mar-1993 12:00:00;NaN;0.8269628;1.01941;1.636873;1.041663;0.3223933;1.799774;2.817231;1.430105;0.8321339;2.011114;0.1696847;-0.1642846;1.0073;-0.2248037;0.1000954;0.1351262;0.02571157;0.1000954;-0.1486118;1.023091;0.01055706;1.151421;0.3373554;0.5000021;2.409206;0.05427614
10-Mar-1993 12:00:00;NaN;0.8297899;1.016695;1.633897;1.086921;0.3372849;1.54297;2.43468;1.053466;0.5946994;2.078124;0.6339474;-0.1610019;1.004126;-0.219183;0.1063198;0.1460979;0.3395887;0.1063198;-0.1466619;1.022662;0.1534743;1.106555;0.353553;0.6073577;2.254972;0.05733775
11-Mar-1993 12:00:00;NaN;0.8336324;1.015092;1.731195;1.09036;-0.1046031;1.227459;2.417088;0.6738942;0.9847424;2.047988;1.013774;0.2801931;1.000642;0.1752162;0.1148205;0.1593595;0.7325797;0.1148205;-0.1450326;1.020996;0.2417822;0.9851816;0.3577187;0.9120406;1.957495;0.05946644
12-Mar-1993 12:00:00;NaN;0.8375614;1.01264;1.890223;0.9956264;-0.1031402;0.9429259;1.951359;0.1557458;1.171328;1.879889;1.560441;0.7209848;0.9986432;0.409642;0.1213069;0.2650111;1.077607;0.1213069;-0.1439102;1.020351;0.4311381;0.7851428;0.3650776;1.202113;1.607213;0.06201635
13-Mar-1993 12:00:00;NaN;0.8412174;1.010698;1.874239;0.9549726;-0.09598772;0.7163637;1.828641;-0.07864773;1.47614;1.856282;1.85821;0.8595762;0.9983674;0.6571446;0.1297981;0.2536729;1.302552;0.1297981;-0.1430555;1.023187;0.481185;0.8158234;0.3718888;1.432092;1.465318;0.06615839
14-Mar-1993 12:00:00;NaN;0.8447208;1.009327;1.734068;0.989319;0.1832891;0.5337291;2.126969;-0.06308736;1.745936;1.893062;1.895566;1.018276;0.9981127;0.7947816;0.6806841;0.3372127;1.511128;0.6806841;-0.1421833;1.02611;0.4761161;0.8826248;0.3794926;1.757173;1.352726;0.07377689
15-Mar-1993 12:00:00;NaN;0.8489664;0.4851238;1.791717;1.066856;0.397589;0.4224374;2.42545;-0.05413144;1.95586;2.123592;2.034775;1.125194;0.9975532;0.8562764;0.7860755;0.1711269;1.612427;0.7860755;-0.1408807;1.027733;0.5039574;0.8290272;-0.01055744;2.030823;1.316371;0.08358487
