date;obs;ERA5;m_1;m_10;m_11;m_12;m_13;m_14;m_15;m_16;m_17;m_18;m_19;m_2;m_20;m_21;m_22;m_23;m_24;m_25;m_3;m_4;m_5;m_6;m_7;m_8;m_9
01-Mar-1993 12:00:00;NaN;-0.2079936;-0.2414092;1.353471;-0.2387934;0.4290234;1.932389;1.276663;1.592991;0.9868726;1.05954;0.01975303;-0.2008827;-0.2509619;-0.2485492;-0.03959258;0.1633194;-0.1677066;-0.03959258;-0.1578953;-0.08945195;0.1527997;1.47027;1.444536;0.6365036;-0.1947343;-0.07891256
02-Mar-1993 12:00:00;NaN;-0.2029379;-0.2386048;1.467129;-0.2358184;0.5044854;1.909719;1.58762;1.625329;0.9113576;1.428055;0.02416021;-0.1979364;-0.2473094;-0.2436538;-0.03179137;0.1459475;-0.1627898;-0.03179137;-0.1551551;-0.08501005;0.2811166;1.607916;1.414284;0.8349531;-0.1883761;-0.07606237
03-Mar-1993 12:00:00;NaN;-0.1982761;-0.2343642;1.350318;-0.2334666;0.4069847;1.975347;1.804496;1.796948;0.7932121;1.555614;0.02762807;-0.1927945;-0.2443744;-0.2403836;-0.02386244;0.04319374;-0.1585195;-0.02386244;-0.1525732;-0.08000554;0.2710323;1.493759;1.307352;0.8374459;-0.1811512;-0.07203121
04-Mar-1993 12:00:00;NaN;-0.1939052;-0.2298881;1.222708;-0.2314013;0.2529933;2.184337;2.064326;1.853299;0.8491917;1.826694;0.0300403;-0.1853553;-0.2426062;-0.2378272;-0.01684045;-0.1094474;-0.1532713;-0.01684045;-0.1507139;-0.07442251;0.04701477;1.37654;0.7900188;0.7253527;0.4275854;-0.06868574
05-Mar-1993 12:00:00;NaN;-0.1895577;-0.2262651;1.202415;-0.2288875;0.1975002;2.314912;2.468425;1.843211;1.011442;2.161115;0.03305432;-0.1796878;-0.2407361;-0.2336182;-0.01041472;-0.1605745;-0.1484901;-0.01041472;-0.149351;-0.0706651;-0.11995;1.427152;0.4452356;0.6574475;0.9639115;-0.06616472
06-Mar-1993 12:00:00;NaN;-0.1850372;-0.223606;1.338143;-0.2239621;0.1461931;2.267875;2.910619;1.811721;1.100899;1.866261;0.03690709;-0.1754376;-0.2387883;-0.2291317;-0.004381212;-0.1571783;-0.145669;-0.004381212;-0.1477703;-0.06804048;-0.09252069;1.493533;0.2584313;0.6340311;1.538704;-0.06249323
07-Mar-1993 12:00:00;NaN;-0.1807946;-0.2216357;1.397784;-0.2168857;0.2796127;2.237;3.046208;1.666555;1.06297;1.603254;0.03993474;-0.1694593;-0.2367663;-0.226342;0.00139228;-0.1503689;-0.1421946;0.00139228;-0.1461072;-0.06502397;0.002596212;1.459884;0.1421211;0.6135069;2.005179;-0.05646874
08-Mar-1993 12:00:00;NaN;-0.1768988;-0.2198974;1.529633;0.6616997;0.2775648;2.03003;3.077767;1.439212;0.8873503;1.841703;0.04186946;-0.1617163;-0.2338375;-0.2235635;0.006974525;-0.1401196;-0.1359362;0.006974525;-0.1446625;-0.0600664;0.006501222;1.27325;0.2182423;0.5274527;2.343653;-0.04882035
09-Mar-1993 12:00:00;NaN;-0.1728888;-0.2183115;1.640493;1.046885;0.1739542;1.798295;2.812603;1.258115;0.6676986;2.01333;0.1909512;-0.1555418;-0.2312067;-0.219408;0.01234296;0.002458656;-0.1307727;0.01234296;-0.1427727;-0.05368983;0.06788624;1.153639;-0.007254325;0.5025916;2.41077;-0.04237231
10-Mar-1993 12:00:00;NaN;-0.1675059;-0.2157592;1.63587;1.089361;0.05269371;1.543786;2.403918;1.053762;0.5988557;2.082307;0.640062;-0.1520444;-0.2291421;-0.2134196;0.01888531;0.07615025;0.3462564;0.01888531;-0.1406952;-0.04820208;0.1579291;1.110446;-0.03208792;0.6115993;2.25563;-0.03895876
11-Mar-1993 12:00:00;NaN;-0.1610421;-0.2120626;1.738827;1.092392;-0.1211343;1.223645;2.200971;0.6689895;0.9900524;2.049942;1.018592;0.2926304;-0.2274485;0.1803686;0.02784713;0.08821215;0.7380395;0.02784713;-0.1389591;-0.04404744;0.2454383;0.9842555;-0.1007247;0.9199119;1.955893;-0.03653893
12-Mar-1993 12:00:00;NaN;-0.1544873;-0.2093123;1.896383;0.9946349;-0.1058135;0.9439759;1.946995;0.1470479;1.171991;1.881553;1.571354;0.7276687;-0.2242153;0.415497;0.03465935;0.2690537;1.084596;0.03465935;-0.137763;-0.03882822;0.438195;0.7838912;-0.09109357;1.206005;1.607222;-0.03367057
13-Mar-1993 12:00:00;NaN;-0.1482247;-0.2060606;1.87724;0.9586164;-0.09823608;0.6309116;1.830771;-0.07407347;1.482634;1.813191;1.863138;0.864016;-0.2191892;0.6625267;0.2181168;0.2808525;1.30555;0.2181168;-0.1368519;-0.02992988;0.481707;0.8232801;-0.08172803;1.437345;1.471919;-0.02910655
14-Mar-1993 12:00:00;NaN;-0.1421268;-0.2022445;1.732748;1.02123;0.190163;0.4340771;2.135347;-0.0718848;1.747951;1.900936;1.88971;1.026904;-0.2141841;0.7988421;0.6809713;0.276041;1.51954;0.6809713;-0.1359224;-0.0209743;0.4513196;0.8765244;-0.07117774;1.762059;1.352237;-0.02083997
15-Mar-1993 12:00:00;NaN;-0.1352407;0.4835322;1.796796;1.121369;0.4017091;0.2608344;2.431492;-0.06232551;1.962437;2.132079;2.043262;1.128044;-0.2095477;0.8616686;0.7936416;0.1699578;1.618966;0.7936416;-0.1345343;0.4167725;0.508083;0.8205035;-0.01142073;2.035601;1.26195;-0.0102416
16-Mar-1993 12:00:00;NaN;-0.1261478;0.8450246;2.229765;1.294458;0.6343567;0.1081147;2.758955;-0.05295099;2.160153;2.281175;2.425605;1.183918;-0.2069658;0.901438;0.9459331;0.06122048;1.610043;0.9459331;-0.1315037;0.5100541;0.7294422;0.8016637;-0.03839773;2.235587;1.195539;-0.0004209609
17-Mar-1993 12:00:00;NaN;0.4418364;1.117182;2.520096;1.632857;0.8472167;0.05858343;3.26606;-0.04156609;2.109974;2.546426;2.578381;1.397038;-0.2057356;0.9508076;1.197344;0.203289;1.548328;1.197344;-0.1277197;0.4874456;1.120711;0.9099026;-0.04520967;2.446181;1.28774;0.006896756
