date;obs;ERA5;m_1;m_10;m_11;m_12;m_13;m_14;m_15;m_16;m_17;m_18;m_19;m_2;m_20;m_21;m_22;m_23;m_24;m_25;m_3;m_4;m_5;m_6;m_7;m_8;m_9
01-Mar-1993 12:00:00;NaN;0.1314988;0.05226211;1.384526;0.08225822;0.4419661;1.936114;1.28727;1.593914;1.001244;1.082442;0.1185562;0.1080137;0.09013436;0.1590143;0.1846251;0.1802789;0.1881553;0.1846251;0.0739936;0.1306206;0.1636079;1.491706;1.464911;0.6614888;0.2030891;0.06036472
02-Mar-1993 12:00:00;NaN;0.1223388;0.0957797;1.483378;0.08120468;0.5203635;1.916651;1.608272;1.632622;0.8971171;1.442569;0.1114156;0.07864548;0.09843611;0.1192504;0.2081937;0.1463319;0.1726708;0.2081937;0.06632006;0.1039915;0.2851508;1.627014;1.407276;0.8485559;0.1496794;0.09343625
03-Mar-1993 12:00:00;NaN;0.1158948;0.1184839;1.338295;0.05564944;0.4087825;1.989748;1.815736;1.803843;0.7962453;1.580223;0.08049179;0.2021902;0.06415742;0.08413725;0.1989051;0.06694905;0.09223282;0.1989051;0.06599469;0.146718;0.2743064;1.464078;0.7954381;0.8327057;0.5164968;0.1122127
04-Mar-1993 12:00:00;NaN;0.1101884;0.1112878;1.139488;0.09679233;0.2543302;2.222189;2.080989;1.858206;0.8586628;1.842757;0.06223624;0.2043364;0.0431825;0.0779814;0.172805;-0.132154;0.1677101;0.172805;0.03730521;0.1361462;0.04212713;1.399414;0.7597742;0.7260039;0.4452262;0.07114686
05-Mar-1993 12:00:00;NaN;0.1146543;0.08410551;1.230729;0.246612;0.09066651;2.331057;2.484685;1.849047;1.034832;2.170439;0.1022876;0.1336595;0.0608628;0.1452728;0.1678221;0.09762727;0.09105735;0.1678221;0.03836164;0.07371191;-0.1137665;1.445465;0.4369211;0.6561939;0.9893549;0.1077905
06-Mar-1993 12:00:00;NaN;0.1173153;0.06652745;1.352477;0.4427606;0.1552152;2.278581;2.926159;1.81793;1.111772;1.841869;0.1110777;0.1281202;0.04850579;0.101374;0.1552784;0.08890261;0.07621077;0.1552784;0.04487053;0.3684748;0.2225069;1.501051;0.08103025;0.6393914;1.55533;0.1641489
07-Mar-1993 12:00:00;NaN;0.1050042;0.05124218;1.405219;0.5004039;0.2934459;2.093227;3.043967;1.646611;1.070497;1.610337;0.1076975;0.1954583;0.0598217;0.07116362;0.1535581;0.2394812;0.3196915;0.1535581;0.1392591;0.08992146;0.008964105;1.459559;0.1823066;0.6153107;2.027411;0.1834361
08-Mar-1993 12:00:00;NaN;0.1016209;0.1043627;1.542349;0.6846275;0.274381;2.024686;3.093075;1.436781;0.8873368;1.85299;0.2618297;0.2119285;0.08589251;0.3064854;0.146526;0.2662314;0.3862532;0.146526;0.03831954;0.1606281;0.009817353;1.272039;0.1201117;0.5247713;2.356935;0.2054635
09-Mar-1993 12:00:00;NaN;0.1341102;0.1375292;1.649842;1.061545;0.1852187;1.792796;2.797506;1.256265;0.589509;2.018367;0.2319684;0.1383842;0.05402656;0.3920448;0.1465994;0.08844041;0.1450169;0.1465994;0.06334358;0.1606669;0.08586718;1.158808;0.00273481;0.5107301;2.413784;0.142767
10-Mar-1993 12:00:00;NaN;0.157628;0.1183679;1.640585;1.097866;0.05442472;1.544829;2.398019;1.053068;0.611636;2.092631;0.6592935;0.1303642;0.05946435;0.2271465;0.256794;0.06538419;0.3681287;0.256794;0.05167353;0.1267774;0.1821869;1.12316;-0.0215777;0.6325518;2.255683;0.07119903
11-Mar-1993 12:00:00;NaN;0.163506;0.1413828;1.770335;1.097194;-0.1186581;1.211649;2.198107;0.6553982;1.004699;2.053386;1.032722;0.3134593;0.04391245;0.2052757;0.2625059;0.2099495;0.7541068;0.2625059;0.04655598;0.1035467;0.2557709;0.980078;0.2251437;0.9517244;1.950072;0.08428667
12-Mar-1993 12:00:00;NaN;0.1637035;0.1836937;1.913903;0.9899577;0.148085;0.9488776;1.935618;0.1288697;1.173412;1.884019;1.605997;0.7578977;0.1184401;0.4373958;0.1426951;0.2803564;1.117525;0.1426951;0.02948409;0.2787632;0.4641241;0.7793633;0.2091637;1.218749;1.605347;0.09222241
13-Mar-1993 12:00:00;NaN;0.1550339;0.3972763;1.883692;0.9688294;0.325799;0.6084396;1.836413;-0.05878542;1.501048;1.828528;1.880567;0.8800071;0.1299488;0.6835129;0.4479862;0.3112569;1.313765;0.4479862;0.03557969;0.4504778;0.4810683;0.8546579;0.2195943;1.454058;1.492492;0.1570774
14-Mar-1993 12:00:00;NaN;0.2463357;0.4681781;1.727918;1.044075;0.2073093;0.4549708;2.160428;0.2527412;1.75269;1.928066;1.873583;1.074487;0.1218732;0.8100525;0.6809025;0.2761035;1.551631;0.6809025;0.09595771;0.1918643;0.4575482;0.8720466;0.2636627;1.776481;1.349109;0.2570023
15-Mar-1993 12:00:00;NaN;0.277429;0.5071759;1.811914;1.148685;0.413137;0.2379662;2.448668;0.1794236;1.980929;2.15599;2.077509;1.134534;0.1143645;0.8797088;0.8184;0.1794873;1.622916;0.8184;0.06362885;0.4679406;0.527863;0.8225329;-0.006584912;2.048844;1.192588;0.2724133
16-Mar-1993 12:00:00;NaN;0.4451668;0.8684347;2.250796;1.325029;0.6535871;0.1278665;2.774662;0.2389354;2.183599;2.300263;2.440594;1.21052;0.04061179;0.9272003;0.9523099;0.06424855;1.615391;0.9523099;0.1109224;0.5101951;0.7565895;0.8348325;-0.01595983;2.256075;1.212814;0.2345522
17-Mar-1993 12:00:00;NaN;0.4694281;1.134988;2.526291;1.651349;0.8617032;0.06201774;3.28758;0.2738273;2.109367;2.586848;2.632768;1.423414;0.04314139;0.9333351;1.213183;0.2109754;1.560455;1.213183;0.1017099;0.4006661;1.139689;0.9225879;0.2495574;2.473035;1.292838;0.1751976
18-Mar-1993 12:00:00;NaN;0.8730697;1.320583;2.718492;2.040082;1.072564;-0.07861104;3.690288;0.2738999;2.138264;3.00056;2.761729;1.456505;0.04540563;1.037937;1.68751;0.6443615;1.472879;1.68751;0.09405182;0.5922015;1.735503;1.065031;0.1824335;2.584276;1.159929;0.3094721
19-Mar-1993 12:00:00;NaN;1.172493;1.513313;2.705674;2.29573;1.261009;0.2918091;3.836628;0.2690181;2.056313;3.327356;2.709275;1.123472;0.2838611;1.249408;2.131988;0.7560316;1.273319;2.131988;0.09715904;1.032591;2.06863;1.137166;0.3684119;2.555986;1.010708;0.3465317
20-Mar-1993 12:00:00;NaN;1.623315;1.775095;2.433025;2.35535;1.388051;0.2867534;3.932784;0.2774233;1.915716;3.591747;2.517811;0.6230463;0.3241173;1.532081;2.67446;0.9437071;1.154574;2.67446;0.100074;1.584925;2.107464;1.271931;0.486887;2.607215;1.188611;0.5472522
21-Mar-1993 12:00:00;NaN;2.020178;2.094132;2.366007;2.341762;1.656854;0.319375;4.119404;0.2937661;2.082778;3.94747;2.203091;0.2562108;0.7046077;1.701764;3.231696;1.280494;1.260975;3.231696;0.09011962;1.975471;2.055224;1.500435;0.7179818;2.688943;1.425193;0.7326917
22-Mar-1993 12:00:00;NaN;2.255098;2.140635;2.416081;2.278231;1.65703;0.3267345;5.162354;0.3231565;2.126338;4.234653;1.823779;0.01377887;0.5753732;1.777174;3.403144;1.436525;1.590774;3.403144;0.09253594;2.268443;2.118522;1.738836;1.04195;2.818666;1.468298;0.8581596
23-Mar-1993 12:00:00;NaN;2.46431;2.234609;2.334521;2.228968;1.397953;0.273405;4.529471;0.3330143;2.057425;4.439971;1.661502;0.01076711;0.644797;1.951644;3.443755;1.436048;1.709205;3.443755;0.09774102;2.468628;2.23633;1.890639;1.28896;2.824366;1.521942;1.144042
24-Mar-1993 12:00:00;NaN;2.592866;2.44361;2.12759;2.268234;1.377071;0.3258166;5.774997;0.516703;2.124453;4.810909;1.665544;-0.07525046;1.097068;2.243722;3.377112;1.536311;1.846033;3.377112;0.09449615;2.666227;2.389148;2.132295;1.459289;2.967434;1.801264;1.455183
25-Mar-1993 12:00:00;NaN;2.613725;2.765524;2.248446;2.314348;1.252842;0.3888079;4.897512;0.7864413;2.0374;4.930233;1.756356;0.2827876;1.675424;2.439275;3.413669;1.804624;2.033765;3.413669;0.09369126;2.739129;2.516617;2.327951;1.484257;3.190064;2.16956;1.579489
26-Mar-1993 12:00:00;NaN;2.571716;2.921448;2.410924;2.370156;1.365103;0.725852;5.099106;1.144696;2.155156;4.970508;2.110561;0.3203119;2.16263;2.631134;3.608256;2.096509;2.241061;3.608256;0.09406424;2.709857;2.656435;2.443804;1.436272;3.314239;2.524006;1.718403
