DateTime	uas_m.s-1	vas_m.s-1	ps_Pa	tas_degC	pr_mm	rsds_W.m-2	rlds_W.m-2	hurs_%	cc_frac	petH_mm.day-1	wss_m s**-1
1983-04-27 00:00:00	-2.74159734519959	-1.17776477479744	100441.742291	16.2494728623047	0	173.58675813916	292.178421818848	32.2897121393433	0.713993792459004	2.93702835524902	3.00485445440045
1983-04-28 00:00:00	-2.38421784880447	1.18523529146385	100524.741452	16.3142009921875	0	169.344247835937	304.279658984375	48.2534717793579	0.695131510879522	3.05383644840669	2.57479101033187
1983-04-29 00:00:00	-2.34273772205734	2.45516643924332	100544.955765875	14.6208152026367	0	163.472886975098	302.842937137695	62.1029501452026	0.706571945460124	2.7491008164617	3.27578195023583
1983-04-30 00:00:00	-2.55972041600378	0.513361282274248	100332.851273125	14.330029225586	0	161.98517901123	297.135647321777	56.642235403817	0.71470371263875	2.52484124910894	2.56493643690865
1983-05-01 00:00:00	-1.32204411714935	-2.64074926791764	99743.9795485	17.0594018637696	0	133.642789186768	335.470717187012	39.3848166901855	0.706122993303577	2.44705214725755	2.96032258480662
1983-05-02 00:00:00	-2.85324499241257	-4.40979376345825	99328.967542125	14.9827549335938	8.80012471721245	46.1583317660523	378.176109117915	62.4360610380858	0.767860606198785	2.14596952573641	5.21304236091078
1983-05-03 00:00:00	-0.494211999540569	1.66244539561081	99074.260438875	14.8436176259766	4.01658428056966	59.9408811105347	382.545328999512	81.3089798707275	0.729717283555078	1.55586676189492	1.60340402728655
1983-05-04 00:00:00	0.162448402629614	4.80844985832215	99924.576373875	12.6541187837564	0	121.069214449463	341.872459623047	78.2243658087158	0.699848994317545	1.61277610627662	4.73984056859579
1983-05-05 00:00:00	-1.801881798769	3.94533354114533	100423.20579925	12.4684774746094	0	116.463388542969	327.927227759277	59.9553662922363	0.730111205031199	1.69911199330749	4.29147942170041
1983-05-06 00:00:00	-3.228182466259	2.15032341164208	100459.785252375	11.4106263598633	0	152.231912049072	290.881756949707	57.5412319100342	0.711093595372415	1.84259370326226	3.86989620197438
1983-05-07 00:00:00	-0.738542797327995	-2.40591254925156	99746.7925605	13.2592926826172	0	149.656884321289	308.167523679646	61.3674175574951	0.683822828241805	1.92894510962508	2.51974531610472
